,precision,recall,f1-score,support
Claude,0.5863636363636363,0.645,0.6142857142857143,200.0
DeepSeek,0.5591836734693878,0.685,0.6157303370786517,200.0
GPT,0.6173913043478261,0.71,0.6604651162790698,200.0
Gemini,0.5562130177514792,0.47,0.5094850948509485,200.0
Mistral,0.5073529411764706,0.345,0.4107142857142857,200.0
accuracy,0.571,0.571,0.571,0.571
macro avg,0.56530091462176,0.571,0.562136109641734,1000.0
weighted avg,0.56530091462176,0.571,0.562136109641734,1000.0
