,pred_Claude,pred_DeepSeek,pred_GPT,pred_Gemini,pred_Mistral
true_Claude,175,0,10,5,10
true_DeepSeek,4,166,11,10,9
true_GPT,13,10,126,23,28
true_Gemini,2,20,19,139,20
true_Mistral,15,19,30,20,116
