feature_family,total_importance,mean_importance,n_features
length_structure,0.4090506458378145,0.029217903274129604,14
punctuation,0.26075562115722195,0.021729635096435163,12
lexical_diversity,0.14295104876389444,0.020421578394842065,7
markers_function_words,0.11895582128151592,0.016993688754502276,7
readability,0.05328260213067984,0.02664130106533992,2
casing,0.015004260828873482,0.015004260828873482,1
