,precision,recall,f1-score,support
Claude,0.8627450980392157,0.88,0.8712871287128713,200.0
DeepSeek,0.7379912663755459,0.845,0.7878787878787878,200.0
GPT,0.7198067632850241,0.745,0.7321867321867321,200.0
Gemini,0.7268041237113402,0.705,0.7157360406091371,200.0
Mistral,0.6626506024096386,0.55,0.6010928961748634,200.0
accuracy,0.745,0.745,0.745,0.745
macro avg,0.7419995707641529,0.7450000000000001,0.7416363171124785,1000.0
weighted avg,0.741999570764153,0.745,0.7416363171124785,1000.0
