,precision,recall,f1-score,support
Claude,0.8916256157635468,0.905,0.8982630272952854,200.0
DeepSeek,0.8038277511961722,0.84,0.8215158924205379,200.0
GPT,0.7668393782383419,0.74,0.7531806615776081,200.0
Gemini,0.7602040816326531,0.745,0.7525252525252525,200.0
Mistral,0.678391959798995,0.675,0.6766917293233082,200.0
accuracy,0.781,0.781,0.781,0.781
macro avg,0.7801777573259419,0.781,0.7804353126283985,1000.0
weighted avg,0.7801777573259417,0.781,0.7804353126283984,1000.0
