,precision,recall,f1-score,support
Claude,0.5852534562211982,0.635,0.6091127098321343,200.0
DeepSeek,0.5555555555555556,0.675,0.6094808126410836,200.0
GPT,0.6051502145922747,0.705,0.651270207852194,200.0
Gemini,0.5581395348837209,0.48,0.5161290322580645,200.0
Mistral,0.5185185185185185,0.35,0.417910447761194,200.0
accuracy,0.569,0.569,0.569,0.569
macro avg,0.5645234559542536,0.5690000000000001,0.5607806420689341,1000.0
weighted avg,0.5645234559542536,0.569,0.5607806420689341,1000.0
