,precision,recall,f1-score,support
Claude,0.8373205741626795,0.875,0.8557457212713936,200.0
DeepSeek,0.772093023255814,0.83,0.8,200.0
GPT,0.6428571428571429,0.63,0.6363636363636364,200.0
Gemini,0.7055837563451777,0.695,0.7002518891687658,200.0
Mistral,0.6338797814207651,0.58,0.6057441253263708,200.0
accuracy,0.722,0.722,0.722,0.722
macro avg,0.7183468556083158,0.722,0.7196210744260333,1000.0
weighted avg,0.7183468556083159,0.722,0.7196210744260334,1000.0
