,precision,recall,f1-score,support
Claude,0.6224489795918368,0.61,0.6161616161616161,200.0
DeepSeek,0.6192468619246861,0.74,0.6742596810933941,200.0
GPT,0.6633663366336634,0.67,0.6666666666666666,200.0
Gemini,0.5510204081632653,0.54,0.5454545454545454,200.0
Mistral,0.5389221556886228,0.45,0.4904632152588556,200.0
accuracy,0.602,0.602,0.602,0.602
macro avg,0.5990009484004148,0.6020000000000001,0.5986011449270155,1000.0
weighted avg,0.599000948400415,0.602,0.5986011449270155,1000.0
