feature_family,total_features,significant_features,mean_epsilon_squared,median_epsilon_squared,max_epsilon_squared,share_significant
Length and sentence structure,11,11,0.2050253510389309,0.2042408064475132,0.3095571637134676,1.0
Lexical diversity,7,7,0.12574727639482358,0.138799679968238,0.1940204250508038,1.0
Readability,2,2,0.1169124951945849,0.1169124951945849,0.1447361006080589,1.0
Markers and function words,8,8,0.11634198148144274,0.1052183094282183,0.2656702914834508,1.0
Punctuation,12,11,0.11745361754564004,0.0644466175828578,0.2944725120957104,0.9166666666666666
Casing,3,2,0.013065837002820532,0.0120864271046375,0.0271110839038241,0.6666666666666666
