genre,total_features,significant_features,mean_epsilon_squared,median_epsilon_squared,share_significant
Argumentative,43,40,0.2877794524693912,0.2700630653176235,0.9302325581395349
Descriptive,43,37,0.20178852602827596,0.1954961369672604,0.8604651162790697
Dialogue,43,38,0.22820947683822138,0.2514749233696842,0.8837209302325582
Narrative,43,39,0.21199491065070006,0.2417254813416435,0.9069767441860465
