feature,group_a,group_b,mannwhitney_u,p_value,mean_a,mean_b,mean_difference_a_minus_b,higher_mean_group,p_value_fdr,significant_fdr_0_05
stylo_ai_marker_ratio,DeepSeek,Gemini,7728.0,2.2405987564151394e-29,0.0016000982700917243,0.007390585868660946,-0.0057904875985692215,Gemini,2.2405987564151394e-29,True
stylo_ai_marker_ratio,DeepSeek,GPT,9625.0,2.7984020989507925e-22,0.0016000982700917243,0.005840891202172067,-0.004240792932080343,GPT,2.7984020989507925e-22,True
stylo_ai_marker_ratio,Claude,Gemini,10167.0,7.924651778127663e-19,0.0023601928243321617,0.007390585868660946,-0.005030393044328785,Gemini,7.924651778127663e-19,True
stylo_ai_marker_ratio,Gemini,Mistral,29259.5,6.164344047730471e-17,0.007390585868660946,0.002450952375656733,0.004939633493004213,Gemini,6.164344047730471e-17,True
stylo_ai_marker_ratio,Claude,GPT,12009.0,2.445926332199325e-13,0.0023601928243321617,0.005840891202172067,-0.0034806983778399056,GPT,2.445926332199325e-13,True
stylo_ai_marker_ratio,GPT,Mistral,26761.5,5.187834031539081e-10,0.005840891202172067,0.002450952375656733,0.0033899388265153344,GPT,5.187834031539081e-10,True
stylo_ai_marker_ratio,Claude,DeepSeek,23021.5,0.001808050186216754,0.0023601928243321617,0.0016000982700917243,0.0007600945542404374,Claude,0.001808050186216754,True
stylo_ai_marker_ratio,DeepSeek,Mistral,17229.5,0.003962019433144623,0.0016000982700917243,0.002450952375656733,-0.0008508541055650086,Mistral,0.003962019433144623,True
stylo_ai_marker_ratio,GPT,Gemini,17738.0,0.04775077796549204,0.005840891202172067,0.007390585868660946,-0.0015496946664888787,Gemini,0.04775077796549204,True
stylo_ai_marker_ratio,Claude,Mistral,19537.5,0.6451234929640531,0.0023601928243321617,0.002450952375656733,-9.075955132457122e-05,Mistral,0.6451234929640531,False
stylo_avg_word_length,Claude,DeepSeek,34397.5,1.3530701966562618e-35,6.069700310594547,5.087137589537868,0.982562721056679,Claude,1.3530701966562618e-35,True
stylo_avg_word_length,Claude,GPT,31820.0,1.5606634318978579e-24,6.069700310594547,5.334332760212426,0.7353675503821204,Claude,1.5606634318978579e-24,True
stylo_avg_word_length,DeepSeek,Gemini,9057.0,2.944439178115671e-21,5.087137589537868,5.667839694712586,-0.5807021051747183,Gemini,2.944439178115671e-21,True
