model_name,feature_set,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,n_features,n_observations,n_prompt_groups,n_splits
logistic_regression,all_stylometric_features,0.781,0.781,0.7801777573259419,0.781,0.7804353126283985,0.7804353126283984,43,1000,200,5
random_forest,all_stylometric_features,0.779,0.7790000000000001,0.7771572454195077,0.7790000000000001,0.776223377226512,0.776223377226512,43,1000,200,5
random_forest,structure_format_features,0.745,0.7450000000000001,0.7419995707641529,0.7450000000000001,0.7416363171124785,0.7416363171124785,26,1000,200,5
logistic_regression,structure_format_features,0.722,0.722,0.7183468556083158,0.722,0.7196210744260333,0.7196210744260334,26,1000,200,5
logistic_regression,content_oriented_features,0.602,0.6020000000000001,0.5990009484004148,0.6020000000000001,0.5986011449270155,0.5986011449270155,17,1000,200,5
logistic_regression,without_structure_format_features,0.602,0.6020000000000001,0.5990009484004148,0.6020000000000001,0.5986011449270155,0.5986011449270155,17,1000,200,5
random_forest,content_oriented_features,0.571,0.571,0.56530091462176,0.571,0.562136109641734,0.562136109641734,17,1000,200,5
random_forest,without_structure_format_features,0.569,0.5690000000000001,0.5645234559542536,0.5690000000000001,0.5607806420689341,0.5607806420689341,17,1000,200,5
