model_family,stylo_word_count,stylo_character_count,stylo_sentence_count,stylo_avg_word_length,stylo_avg_sentence_length,stylo_sentence_length_std,stylo_sentence_length_min,stylo_sentence_length_max,stylo_sentence_length_range,stylo_short_sentence_ratio,stylo_long_sentence_ratio,stylo_punctuation_count,stylo_comma_count,stylo_period_count,stylo_question_mark_count,stylo_exclamation_count,stylo_semicolon_count,stylo_colon_count,stylo_dash_count,stylo_quote_count,stylo_uppercase_word_count,stylo_titlecase_word_count,stylo_uppercase_char_ratio,stylo_type_token_ratio,stylo_hapax_legomena_ratio,stylo_repeated_word_ratio,stylo_yules_k,stylo_simpson_diversity,stylo_honores_r,stylo_mattr_50,stylo_function_word_count,stylo_function_word_ratio,stylo_ai_marker_count,stylo_ai_marker_ratio,stylo_transition_marker_count,stylo_transition_marker_ratio,stylo_hedging_marker_count,stylo_hedging_marker_ratio,stylo_punctuation_per_100_words,stylo_comma_per_100_words,stylo_period_per_100_words,stylo_flesch_reading_ease,stylo_gunning_fog
Claude,209.85,1523.975,14.715,6.0697,15.0383,5.2375,6.725,25.55,18.825,0.2377,0.0711,39.975,12.945,15.18,0.99,0.09,0.095,0.59,2.05,8.145,0.87,19.505,0.0184,0.7185,0.5843,0.1887,67.7249,0.9932,2985.8104,0.8992,56.055,0.2672,0.5,0.0024,1.93,0.0092,1.39,0.0066,19.1905,6.1812,7.2642,21.282,18.0235
DeepSeek,218.785,1368.0,10.955,5.0871,21.561,8.4727,8.005,36.785,28.78,0.1597,0.3726,34.195,18.23,10.995,0.655,0.0,0.5,0.62,3.79,5.06,1.025,16.225,0.0181,0.695,0.5773,0.1707,100.6535,0.9899,3342.6763,0.8656,75.145,0.3434,0.35,0.0016,1.82,0.0083,1.06,0.0048,15.6439,8.3387,5.0259,42.1435,15.9682
GPT,209.16,1364.2,12.64,5.3343,18.1226,5.6872,9.385,29.165,19.78,0.161,0.1855,34.795,16.435,12.24,1.04,0.645,0.315,0.645,1.675,5.415,0.855,17.1,0.0185,0.6682,0.5397,0.1941,101.0036,0.9899,2944.9077,0.8619,72.425,0.3458,1.22,0.0058,1.54,0.0074,1.55,0.0074,16.6278,7.8688,5.8414,38.3579,15.9277
Gemini,209.65,1435.7,10.715,5.6678,20.7622,7.8702,9.495,35.45,25.955,0.1331,0.3175,42.295,20.355,10.8,0.585,0.095,0.41,0.365,2.81,6.84,1.315,16.295,0.0173,0.7169,0.6024,0.1612,84.666,0.9915,3588.9702,0.8769,64.93,0.3093,1.545,0.0074,1.51,0.0072,1.235,0.0059,20.1082,9.7072,5.1354,22.4421,19.3233
Mistral,203.28,1326.72,11.525,5.3625,18.8156,5.8864,9.885,30.165,20.28,0.1297,0.1989,36.195,15.68,11.82,0.87,0.125,0.205,0.415,3.795,4.13,1.135,15.95,0.0184,0.7053,0.5801,0.1794,89.1244,0.991,3132.4155,0.8781,64.605,0.3171,0.495,0.0025,1.78,0.0088,1.385,0.0068,17.82,7.7235,5.8241,37.6905,16.0372
