feature_family,total_importance,mean_importance,n_features
length_structure,0.4090506458378145,0.0292179032741296,14
punctuation,0.2607556211572219,0.0217296350964351,12
lexical_diversity,0.1429510487638944,0.020421578394842,7
markers_function_words,0.1189558212815159,0.0169936887545022,7
readability,0.0532826021306798,0.0266413010653399,2
casing,0.0150042608288734,0.0150042608288734,1
