model_family,stylo_word_count,stylo_character_count,stylo_sentence_count,stylo_avg_word_length,stylo_avg_sentence_length,stylo_sentence_length_std,stylo_sentence_length_min,stylo_sentence_length_max,stylo_sentence_length_range,stylo_short_sentence_ratio,stylo_long_sentence_ratio,stylo_punctuation_count,stylo_comma_count,stylo_period_count,stylo_question_mark_count,stylo_exclamation_count,stylo_semicolon_count,stylo_colon_count,stylo_dash_count,stylo_quote_count,stylo_uppercase_word_count,stylo_titlecase_word_count,stylo_uppercase_char_ratio,stylo_type_token_ratio,stylo_hapax_legomena_ratio,stylo_repeated_word_ratio,stylo_yules_k,stylo_simpson_diversity,stylo_honores_r,stylo_mattr_50,stylo_function_word_count,stylo_function_word_ratio,stylo_ai_marker_count,stylo_ai_marker_ratio,stylo_transition_marker_count,stylo_transition_marker_ratio,stylo_hedging_marker_count,stylo_hedging_marker_ratio,stylo_punctuation_per_100_words,stylo_comma_per_100_words,stylo_period_per_100_words,stylo_flesch_reading_ease,stylo_gunning_fog
Claude,209.85,1523.975,14.715,6.07,15.038,5.237,6.725,25.55,18.825,0.238,0.071,39.975,12.945,15.18,0.99,0.09,0.095,0.59,2.05,8.145,0.87,19.505,0.018,0.719,0.584,0.189,67.725,0.993,2985.81,0.899,56.055,0.267,0.5,0.002,1.93,0.009,1.39,0.007,19.191,6.181,7.264,21.282,18.024
DeepSeek,218.785,1368.0,10.955,5.087,21.561,8.473,8.005,36.785,28.78,0.16,0.373,34.195,18.23,10.995,0.655,0.0,0.5,0.62,3.79,5.06,1.025,16.225,0.018,0.695,0.577,0.171,100.653,0.99,3342.676,0.866,75.145,0.343,0.35,0.002,1.82,0.008,1.06,0.005,15.644,8.339,5.026,42.144,15.968
GPT,209.16,1364.2,12.64,5.334,18.123,5.687,9.385,29.165,19.78,0.161,0.185,34.795,16.435,12.24,1.04,0.645,0.315,0.645,1.675,5.415,0.855,17.1,0.018,0.668,0.54,0.194,101.004,0.99,2944.908,0.862,72.425,0.346,1.22,0.006,1.54,0.007,1.55,0.007,16.628,7.869,5.841,38.358,15.928
Gemini,209.65,1435.7,10.715,5.668,20.762,7.87,9.495,35.45,25.955,0.133,0.318,42.295,20.355,10.8,0.585,0.095,0.41,0.365,2.81,6.84,1.315,16.295,0.017,0.717,0.602,0.161,84.666,0.991,3588.97,0.877,64.93,0.309,1.545,0.007,1.51,0.007,1.235,0.006,20.108,9.707,5.135,22.442,19.323
Mistral,203.28,1326.72,11.525,5.363,18.816,5.886,9.885,30.165,20.28,0.13,0.199,36.195,15.68,11.82,0.87,0.125,0.205,0.415,3.795,4.13,1.135,15.95,0.018,0.705,0.58,0.179,89.124,0.991,3132.415,0.878,64.605,0.317,0.495,0.002,1.78,0.009,1.385,0.007,17.82,7.724,5.824,37.69,16.037
